"filename", "language", "C#", "comment", "blank", "total"
"e:\GitHub\UnityProjects\AlienHunt\Alien-Hunt\Assets\Scripts\Systems\Tags\GameplayTag.cs", "C#", 7, 0, 2, 9
"e:\GitHub\UnityProjects\AlienHunt\Alien-Hunt\Assets\Scripts\Systems\Tags\GameplayTagsSystem.cs", "C#", 64, 0, 10, 74
"e:\GitHub\UnityProjects\AlienHunt\Alien-Hunt\Assets\Scripts\Testing\RemoveEquipment.cs", "C#", 18, 0, 4, 22
"e:\GitHub\UnityProjects\AlienHunt\Alien-Hunt\Assets\Scripts\UI\Attributes\UI_Attribute.cs", "C#", 17, 1, 4, 22
"e:\GitHub\UnityProjects\AlienHunt\Alien-Hunt\Assets\Scripts\UI\Attributes\UI_AttributesDisplay.cs", "C#", 27, 0, 6, 33
"e:\GitHub\UnityProjects\AlienHunt\Alien-Hunt\Assets\Scripts\UI\CurrencyUI.cs", "C#", 17, 0, 6, 23
"e:\GitHub\UnityProjects\AlienHunt\Alien-Hunt\Assets\Scripts\UI\Effects\Effect_UI.cs", "C#", 21, 0, 4, 25
"e:\GitHub\UnityProjects\AlienHunt\Alien-Hunt\Assets\Scripts\UI\Effects\EffectsDisplay.cs", "C#", 45, 0, 7, 52
"e:\GitHub\UnityProjects\AlienHunt\Alien-Hunt\Assets\Scripts\UI\HealthBar.cs", "C#", 21, 0, 5, 26
"e:\GitHub\UnityProjects\AlienHunt\Alien-Hunt\Assets\Scripts\UI\Inventory.cs", "C#", 30, 0, 4, 34
"e:\GitHub\UnityProjects\AlienHunt\Alien-Hunt\Assets\Scripts\UI\InventoryItem.cs", "C#", 39, 0, 9, 48
"e:\GitHub\UnityProjects\AlienHunt\Alien-Hunt\Assets\Scripts\UI\Menus\ControlsMenu.cs", "C#", 13, 0, 3, 16
"e:\GitHub\UnityProjects\AlienHunt\Alien-Hunt\Assets\Scripts\UI\Menus\GameOverMenu.cs", "C#", 24, 0, 6, 30
"e:\GitHub\UnityProjects\AlienHunt\Alien-Hunt\Assets\Scripts\UI\Menus\MainMenu.cs", "C#", 11, 0, 2, 13
"e:\GitHub\UnityProjects\AlienHunt\Alien-Hunt\Assets\Scripts\UI\Menus\PauseMenu.cs", "C#", 41, 0, 10, 51
"e:\GitHub\UnityProjects\AlienHunt\Alien-Hunt\Assets\Scripts\UI\Menus\SettingsMenu.cs", "C#", 13, 0, 4, 17
"e:\GitHub\UnityProjects\AlienHunt\Alien-Hunt\Assets\Scripts\UI\Stats\UI_Stat.cs", "C#", 14, 0, 3, 17
"e:\GitHub\UnityProjects\AlienHunt\Alien-Hunt\Assets\Scripts\UI\Stats\UI_StatsDisplay.cs", "C#", 26, 0, 7, 33
"e:\GitHub\UnityProjects\AlienHunt\Alien-Hunt\Assets\Scripts\UI\UI_ActiveEquipment.cs", "C#", 56, 0, 13, 69
"e:\GitHub\UnityProjects\AlienHunt\Alien-Hunt\Assets\Scripts\UI\WaveUI.cs", "C#", 53, 1, 11, 65
"Total", "-", 2541, 47, 442, 3030
